cfips,birth_rate,pct_new_young_mothers
29021,68,2.2
29023,55,10.7
29025,49,5.7
29027,65,2.5
29029,45,4.2
29031,50,4.1
29033,91,3.1
29035,3,100.0
29037,65,3.3
29039,90,6.0
29041,74,7.1
29043,83,1.0
29045,64,3.8
29047,57,1.5
29049,78,8.2
29051,50,9.8
29053,58,1.0
29055,48,15.1
29057,65,8.1
29059,85,15.5
29061,100,0.0
29063,66,0.0
29065,51,7.3
29067,67,0.0
29069,82,3.0
29071,72,5.7
29073,81,0.9
29075,111,7.4
29077,63,2.1
29079,50,0.0
29081,46,8.6
29083,68,17.4
29085,23,0.0
29087,89,0.0
29089,19,5.0
29091,72,3.3
29093,55,0.0
29095,50,2.5
29097,58,5.2
29099,54,2.9
29101,56,4.3
29103,52,0.0
29105,97,7.2
29107,51,5.2
